Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment
SRR27329452,OTHER,28,385019761,PRJNA1055925,SAMN39081880,183319433,OCI-AML3,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006468,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989995,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:45:00Z,1,GSM7989995,OCI-AML3,SRP479687,"500nM dTAG-13\, 6h"
SRR27329453,RNA-Seq,29,105747215,PRJNA1055925,SAMN39081881,53039008,OCI-AML3,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006467,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989994,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:44:00Z,1,GSM7989994,OCI-AML3,SRP479687,"500nM dTAG-13\, 6h"
SRR27329454,OTHER,28,287292145,PRJNA1055925,SAMN39081882,138363892,OCI-AML3,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006466,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989993,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:44:00Z,1,GSM7989993,OCI-AML3,SRP479687,"0.3% DMSO\, 6h"
SRR27329455,RNA-Seq,29,96922633,PRJNA1055925,SAMN39081883,48921821,OCI-AML3,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006465,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989992,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:43:00Z,1,GSM7989992,OCI-AML3,SRP479687,"0.3% DMSO\, 6h"
SRR27329456,OTHER,29,420658501,PRJNA1055925,SAMN39081884,199863637,IMS-M2,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006464,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989991,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:44:00Z,1,GSM7989991,IMS-M2,SRP479687,"500nM dTAG-13\, 6h"
SRR27329457,OTHER,28,83844230,PRJNA1055925,SAMN39081885,41250668,IMS-M2,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006463,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989990,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:44:00Z,1,GSM7989990,IMS-M2,SRP479687,"500nM dTAG-13\, 6h"
SRR27329458,RNA-Seq,29,219471497,PRJNA1055925,SAMN39081886,108744092,IMS-M2,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006462,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989989,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:44:00Z,1,GSM7989989,IMS-M2,SRP479687,"500nM dTAG-13\, 6h"
SRR27329459,RNA-Seq,30,294716076,PRJNA1055925,SAMN39081887,138281332,IMS-M2,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006461,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989988,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:44:00Z,1,GSM7989988,IMS-M2,SRP479687,"500nM dTAG-13\, 6h"
SRR27329460,OTHER,28,111403694,PRJNA1055925,SAMN39081888,54613195,IMS-M2,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006460,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989987,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:43:00Z,1,GSM7989987,IMS-M2,SRP479687,"0.3% DMSO\, 6h"
SRR27329461,OTHER,28,74939066,PRJNA1055925,SAMN39081889,36709058,IMS-M2,NPM1-mutated acute myeloid leukemia cells,UNIVERSITY OF PERUGIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23006459,NPM1 gene mutation (type A),uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM7989986,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-30T00:00:00Z,2023-12-22T15:44:00Z,1,GSM7989986,IMS-M2,SRP479687,"0.3% DMSO\, 6h"
